subgraph_size,alpha,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
5,0,0.8824,2.37114,1.25336,0.85858,0.693124420143568,0.22411275889884497
5,0.001,0.8829,2.37475,1.25777,0.86257,0.6931244448619224,0.22438660678398376
5,0.1,0.8911,2.31172,1.20230,0.79319,0.6931279265484281,0.22103239763668225
5,0.2,0.8917,2.27431,1.19123,0.77034,0.6931311331365734,0.2237318425401557
5,0.3,0.8943,2.22238,1.16212,0.74347,0.6931335160640281,0.22279098798091249
5,0.4,0.8918,2.18970,1.13766,0.71616,0.6931347983810862,0.2219440901750964
5,0.5,0.8797,2.24654,1.16680,0.72178,0.6931344557953991,0.21351834546952708
5,0.6,0.8725,2.21311,1.15466,0.71951,0.693132287493842,0.21415623586766785
5,0.7,0.8643,2.26404,1.18525,0.74458,0.6931281473502984,0.21057966915590906
5,0.8,0.8536,2.27741,1.18832,0.74493,0.6931221135407216,0.20472505854637524
5,0.9,0.8456,2.32410,1.23598,0.81141,0.6931140952045494,0.20578926612207885
5,0.99,0.8320,2.31295,1.20601,0.78059,0.693105305667295,0.20228416635570118
5,1.0,0.8300,2.32191,1.20178,0.76307,0.6931045164445221,0.19763141380904573
